user name,post date,post stars,user comment,images
No Name,5 Мая 2022,100%,"['        Достоинства       Маленькая , но очень вместительная  ', '        Недостатки       Нету  ', '        Комментарий       Очень удобная сумочка, для прогулок самое то. Очень вместительная. 3 больших отделений, одно маленькое.  ']",n/a
No Name,28 Апреля 2022,100%,"['        Достоинства       Удобная,небольшая сумочкаСмотрится красиво ', '        Недостатки       Нет ', '        Комментарий       Учитывайте размер сумочки,вместительность небольшая  ']","['https://cdn1.ozone.ru/s3/video/cover/wc500/01G1RMACTQ05XGASC2HA2KM97J.jpg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/53c1ee6b-455c-4a0c-8f9c-98c368783a52.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/ae701527-849b-42ef-b776-94873f58bf45.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/e830915d-fc55-46f8-a6cd-f053e501ecce.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/0778d2f8-8c19-482d-9db6-67e04253376f.jpeg']"
Алла Ч.,27 Апреля 2022,80%,"['        Достоинства       Цена, внешний вид ', '        Недостатки       Немного рисунок клеток уходит в сторону, не симметрично. С одной стороны некрасиво обработан шов.  ', '        Комментарий       Неплохая сумка за эти деньги, рисунок не симметрично выполнен. Очень мало вмещается при том, что выглядит сумка достаточно широкой. Положила блеск, зеркальце, небольшую косметичку с таблетками и все…телефон надо постараться ещё уместить. ']","['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/25f7d1f5-421a-4705-98c6-740f2af1bd20.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/185efa8c-488c-4bb7-adfe-1ee3d734bcd6.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/338e5cfc-671d-42f2-8b81-c87bc7bc3775.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/5592fa72-516a-4c50-a0b2-bbfe8bcac0cc.jpeg']"
Юлия А.,21 Апреля 2022,100%,"['        Достоинства       Отличная сумочка ', '        Недостатки       Теперь мне нужен маленький кошелёк 😀😀 ', '        Комментарий       Очень клевая, спасибо за быструю доставку  ']","['https://cdn1.ozone.ru/s3/rp-photo-5/wc500/4920f101-7188-46a1-ab9b-e8c29d963f92.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/3467b10e-b7bc-441f-9fdf-bd31b9f3fe47.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/cc19b272-65c7-4ace-9771-e866b5e26ab1.jpeg']"
Анастасия Б.,21 Апреля 2022,100%,n/a,n/a
Ольга Н.,7 Апреля 2022,100%,"['        Достоинства       качественная  ', '        Недостатки       не нашла ', '        Комментарий       классная сумка на плечо, какую я и хотела) Все хорошо сшито, вместительная, советую) и спасибо за быструю доставку, все пришло в целости и сохранности)  ']",n/a
Анна К.,7 Апреля 2022,100%,"['        Достоинства       стильная, длинная ручка ', '        Недостатки       нет ', '        Комментарий       Давно искала такую стильную сумку с длинной ручкой, чтобы подходила под весь мой гардероб, вообщем покупкой довольна.  Спасибо:) ']",n/a
Анна М.,6 Апреля 2022,100%,"['        Достоинства       удобная ', '        Недостатки       нет ', '        Комментарий       Очень довольна сумочкой, спасибо продавцу за качество ']",n/a
