user name,post date,post stars,user comment,images
Дина,8 Ноября 2021,100%,"['        Достоинства       Маленькая, удобная и простая, все в одной сумке ']","['https://cdn1.ozone.ru/s3/video/cover/wc500/01FKYPBQHFH0A1G5JK7R6MZRRV.jpg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/859ec9c7-41b1-4fbe-bec0-b5524e8d0321.jpeg']"
Зумберова Н.,29 Октября 2021,80%,"['        Достоинства       красивая ', '        Недостатки       нет карманов, пришла помятая ', '        Комментарий       спасибо продавцу за резиночку в подарок ']","['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/e48db5ef-d3e9-4cd2-8538-c976fe6d035e.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/27239aa0-17b8-40d8-96af-dfd742129e10.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/04d596db-c21d-4fc8-81e8-aaa99e45fb18.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/16f51003-f359-45f9-93b3-2a7c25d93042.jpeg']"
Саидат О.,26 Октября 2021,100%,"['        Достоинства       Сумочка очень понравилась. Размер, как я и хотела. Очень красивая. ', '        Комментарий       Запаха нет. Продавца рекомендую. ']","['https://cdn1.ozone.ru/s3/video/cover/wc500/01FJYX4EBYT612QSPAGW77ZQKT.jpg', 'https://cdn1.ozone.ru/s3/video/cover/wc500/01FJYX4CGS52S15Y8SN83553PC.jpg']"
No Name,17 Октября 2021,100%,"['        Достоинства       цена, дизайн  ', '        Недостатки       качество исполнения ', '        Комментарий       За свои деньги отличный товар. Продавец положил комплименты (резинку для волос и украшение на шею). В комплекте два ремешка (на фото). Сумка небольшая, но достаточно вместительная. ']","['https://cdn1.ozone.ru/s3/video/cover/wc500/01FJ7TA8154FWJBHR0K5T3PTD4.jpg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/4b63d65c-6b5a-4e4f-a102-592c716edeaa.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/71429709-35c1-44b3-93b0-642ddb45bc72.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/f4e29ce3-ae96-468d-8ca7-213dfe104828.jpeg']"
Валентина Р.,13 Октября 2021,40%,"['        Достоинства       Красивый внешний вид ', '        Недостатки       Сделана ни из кожи, ни из кожщама, а из клеенки. И ещё отвратительный запах клея. Ещё неудобно открывать закрывать цепочка норовит запутаться.  ', '        Комментарий       Не рекомендую.  ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01FHWJ63EQAGAYDZ2TNMKV84EJ.jpg']
Марина Т.,9 Октября 2021,100%,"['        Достоинства       есть ', '        Недостатки       слишком тонкая  ', '        Комментарий       Сумку доставили вовремя. Целая.Но очень маленькая.На фото выглядит больше.Спасибо! ']","['https://cdn1.ozone.ru/s3/video/cover/wc500/01FHJ8JFFFBD4FSMTMPYRT2VXA.jpg', 'https://cdn1.ozone.ru/s3/video/cover/wc500/01FHJ8EVD2PPA26DPKGQD3VNGK.jpg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/736e19ce-fe26-4211-a872-e753ef77482c.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/72443dc9-b2e4-4bc4-89a2-3c571b561c9f.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/29a2a945-035a-4b22-9da2-d319b693344c.jpeg']"
Шнырина Людмила,29 Сентября 2021,100%,"['        Достоинства       Сумка очень красивая, плотная. ', '        Недостатки       Нет. ', '        Комментарий       Понравилась, модная. Очень довольна покупкой. ']","['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/0f0dc5a5-7b98-4fc9-8ba9-40a5e5299733.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/f1af6e1b-9ef9-4c0d-b722-c0e4e8449f41.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/bebc7558-3847-4bdc-88b0-406163329ef4.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/f589234c-d650-4e3f-8db9-c091d2c1f72c.jpeg']"
Ольга К.,15 Сентября 2021,100%,"['        Достоинства       Сумочка симпатичная, легкая, достаточно вместимая. ', '        Недостатки       нет, кроме немного унылого ремешка ', '        Комментарий       Рекомендую к покупке бюджетный, весьма удобный аксессуар! ']","['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/0c954d87-2ac0-4df9-a889-b2284fed9e64.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/41c3ae48-3ee9-4155-b575-ab14cd47cf6e.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/20d53234-cae4-4167-8243-37e5d3edbe39.jpeg']"
Мария Б.,10 Сентября 2021,100%,"['        Достоинства       Маленькая, но очень вместительная. ', '        Недостатки       Нет. ', '        Комментарий       Кожзам хорошего качества. Отлично прошита. Плотная подкладка. Лёгкая, молния хорошая . Пришла слегка помятой, но быстро расправилась. Заказывала дочке, она очень довольна.  ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01FF7SMNGCD23AMSTMNFX4H1TA.jpg']
Евгения К.,7 Сентября 2021,100%,"['        Достоинства       Внешний вид красивый, смотрится стильно. ', '        Недостатки       Качество среднее ', '        Комментарий       Под платье отлично подходит. Невесомая. ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01FEZXG1QNWPRZ8NYYZY7KHSCE.jpg']
Мустафаева Сабина,5 Августа 2021,20%,"['        Достоинства       - ', '        Недостатки       Сумка сделана из некачественного клеёнчатого материала,имеющего резкий запах резины,внутри сумки неаккуратные швы(брак), ремень тонкий,клеенчатый,пластмассовая цепь. Застежка-пластмасса,пришла царапанная,сама по себе неудобная,что само по себе ожидаемо. ', '        Комментарий       Сумка Китай,больше 150 рублей не стоит.  ']","['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/4560f6c3-d3ac-4cf6-8308-0e8056ad34cf.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/17f7d074-7e5e-436a-8845-b5eebadaf21c.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/6cb16f6e-1bbc-4f30-a876-fe190cb6b1f6.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/8c4387f2-9cde-47bc-b8fe-33ac010dba75.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/9d51644d-fe97-4e04-afed-8369d69dd410.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/9b168588-8f7a-4861-b863-e61f0540a1a0.jpeg']"
Дарья М.,29 Июля 2021,80%,"['        Достоинства       Несмотря на сам материал, сумка хорошо выполнена (строчки ровные, нитки не торчат, молния хорошо пришита, фурнитура держится крепко). В целом, стоимость свою оправдывает ', '        Недостатки       Материал подклада хлипенький, может порваться :( ']","['https://cdn1.ozone.ru/s3/rp-photo-5/wc500/d14d9d0d-1f0f-4f4b-b00b-f7f2a93818cf.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/d2cd14d7-b94c-4da7-bd7c-c2496873d45b.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/a679ba05-c09b-400d-ba6d-70f1d64432e1.jpeg']"
No Name,5 Мая 2022,80%,"['        Достоинства       стильный внешний вид ', '        Недостатки       хлипкая ']",n/a
Алиса Т.,4 Мая 2022,100%,"['        Достоинства       прикольная вместительная сумка  ', '        Недостатки       много ниток висят ', '        Комментарий       пришла, качеством довольна ']",n/a
No Name,4 Мая 2022,40%,"[' На фото намного лучше, хлипкая цепь которая оторвалась на следующий день, не стоит своих денег  ']",n/a
Павел Д.,4 Мая 2022,100%,"['        Достоинства       компактная ', '        Недостатки       нет ', '        Комментарий       хорошая сумка, девушке понравилось ']",n/a
Валентина З.,4 Мая 2022,100%,"['        Достоинства       Отличная и качественная сумка! Хорошая упаковка. Достаточно быстро пришла в пункт выдачи!  ', '        Недостатки       Нет ']",n/a
No Name,4 Мая 2022,100%,"['        Достоинства       Размер и дизайн! ', '        Недостатки       Торчащие нитки, плохо запаянные края! ', '        Комментарий       Симпатичная сумка по дизайну, простая но в тоже время стильная, цена и качество соответствует. ']",n/a
Светлана К.,3 Мая 2022,100%,"['        Достоинства       Изящная ', '        Недостатки       нет ', '        Комментарий       рекомендую ']",n/a
Анна К.,3 Мая 2022,60%,"['        Достоинства       Красивая ', '        Недостатки       Качество ужасное  ']",n/a
Вера Е.,1 Мая 2022,100%,"['        Достоинства       Стильно смотрится, по качеству хорошая👍  ', '        Недостатки       нет ни одного кармана ']",n/a
Альбина Г.,27 Апреля 2022,80%,"['        Достоинства       Устраивает размер, все неободимое поместилось ', '        Недостатки       Жаль нет ни одного кармашка. Качество ремешка не очень.  ']",n/a
Татьяна Б.,26 Апреля 2022,80%,"['        Достоинства       Достаточно вместмтельная , складываю : ключи (крупные) , помаду , зеркало , мобильный, картхолдер (тинькофф) электронку, влажные салфетки (самые маленькие) и иногда там бывает шоколадка ))))(естественно есть сумки больше по размеру для повседневной носки ) но для ""выхода"" самое то по размерам Замочек хоть и шумный , но прочный   ', '        Недостатки       Цвет не белый , скорее кремовый .На лямке виден шов ', '        Комментарий       Многие из окружения ценили сумку : практичная , не дорогая,  смотрится стильно хоть с классикой , хоть со спортивным костюмом  ']",n/a
Елена Г.,25 Апреля 2022,100%,"['        Достоинства       Отличная сумочка  ', '        Недостатки       Нет ', '        Комментарий       Я очень люблю вещи, которые имеют функционал шире, чем он изначально подразумевается. В сумочку я  просто влюбилась, компактная, вместительная, интересная, можно носить как угодно, на плече, через плечо, как клатч. Сшита руками, нитки ни где не торчат, замочек надёжный. Спасибо продавцу за отличный товар, упаковано было хорошо, плюс... Читать полностью']",n/a
Дарья Г.,24 Апреля 2022,60%,"['        Достоинства       Понравилась ребёнку 10 лет , но не мне взрослой которая её купила по просьбе этого же ребёнка  ', '        Недостатки       Сильно Видны нитки с большими промежутками строчки , вернула бы обратно  ']",n/a
Киря Т.,23 Апреля 2022,100%,"['        Достоинства       Хорошая, небольшая сумка, для девушки всё поместится! Даже как в фильмах огромная рамка с фотографие! Цепочка не как не ригвлируется, только если цбирать какие то звенья ', '        Недостатки       нет ', '        Комментарий       Офигенная сумка!!! ']",n/a
Галина С.,22 Апреля 2022,80%,"['        Достоинства       Оригинальный дизайн, контрастные цвета и геометрический рисунок - отличная идея. Подходит ко многим образам. Лёгкая ! ', '        Недостатки       Качество исполнения - "" на троечку"". Материал - тонкий эммм...рубероид; фурнитура слабая( пока шла из пункта доставки, примерив сумочку на плечо, цепочка рвалась дважды!); из швов торчат нитки. ', '        Комментарий       У сумочки есть интересное свойство: если... Читать полностью']",n/a
Надежда С.,19 Апреля 2022,20%,"['        Недостатки       не стоит своих денег,цепочка на сумке короткая и очень тонкая.по ощущениям из пластика.застёжка до конца не закрывает ']",['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/36ad9c14-4b00-4274-a50f-920297677c5e.jpeg']
Мария П.,14 Апреля 2022,100%,"['        Достоинства       цена  ', '        Недостатки       нет  ', '        Комментарий       Маленька, классная и вместительная сумочка. Идеально подойдёт к любому платью. Швы все ровные, нигде ничего не торчит. Молния хорошо переносит частое пользование ']",['https://cdn1.ozone.ru/s3/rp-photo-2/wc500/a70c6904-4018-4477-9442-7b1731aa963a.jpeg']
Скокова Д.,13 Апреля 2022,80%,"['        Достоинства       Компактная и маленькая ', '        Недостатки       Материал ', '        Комментарий       В целом, сумка не плохая, но вот материал мягкий. Эта сумка тянет рублей на 400 ']",['https://cdn1.ozone.ru/s3/rp-photo-2/wc500/f3dda20c-1f15-492f-9d5e-1520d006ae4d.jpeg']
No Name,11 Апреля 2022,60%,"['        Достоинства       Быстрая длставка  ', '        Недостатки       Размер меньше чем на фото ', '        Комментарий       Материал сумки отдает блеском  ']",['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/2f0947aa-002a-489a-ad86-bd75165de0d9.jpeg']
Зульфия Х.,9 Апреля 2022,100%,[' ооочень классно.  '],['https://cdn1.ozone.ru/s3/rp-photo-5/wc500/90c79c45-8ed6-4dee-9d09-561d1b9ab24b.jpeg']
Валя З.,6 Апреля 2022,100%,"['        Достоинства       хорошая сумка ', '        Недостатки       маленькая ', '        Комментарий       сумка понравилась, но очень маленькая помещается только телефон. Внутри один отдел. Спасибо продавцу.  ']",['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/53b75f98-da63-457b-8631-332d154798d4.jpeg']
Алексей П.,5 Апреля 2022,100%,"['        Достоинства       красивая ', '        Недостатки       нет ', '        Комментарий       жене очень понравилось ']",['https://cdn1.ozone.ru/s3/rp-photo-2/wc500/98b1404e-4ef4-4d06-a303-6309b69f1bf7.jpeg']
Татьяна У.,4 Апреля 2022,40%,"['        Достоинства       Красивый цвет ', '        Недостатки       Качество оставляет желать лучшего ', '        Комментарий       Не стоит затраченных средств ']",['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/42d04c9e-8ae4-4287-a68b-e5966bc53dda.jpeg']
No Name,3 Апреля 2022,40%,"['        Недостатки       слишком маленькая ', '        Комментарий       не стоит своих денег, слишком маленькая, и всего один отдел, я надеялась что она будет больше, брала на подарок, но в итоге возврат ']",['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/41f93149-0df3-42de-a535-96ef2b6f2076.jpeg']
Алена К.,31 Марта 2022,100%,"[' класная,удобная,средней вместительности. ']",['https://cdn1.ozone.ru/s3/rp-photo-2/wc500/134edde1-4c5a-48c3-88bf-34f30b65a3b7.jpeg']
Ольга З.,27 Марта 2022,100%,"['        Достоинства       Нет ', '        Недостатки       Размер не соответствует описанию,и по фото тоже  ']",['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/626e78bf-cd5e-4e7b-be80-adc556bf5583.jpeg']
Александр И.,8 Марта 2022,100%,"['        Достоинства       Хорошая маленькая сумочка ', '        Недостатки       Нет ', '        Комментарий       Заказывали дочке на подарок, очень понравилась, маленькая миленькая сумочка, хорошо на лето.  ']",['https://cdn1.ozone.ru/s3/rp-photo-5/wc500/8f138756-b4e3-447a-b8d9-c52c426ab2e7.jpeg']
Ирина м.,10 Февраля 2022,80%,"['        Достоинства       Сумка хорошая, но не много понятая  ']","['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/78291478-b4ac-4454-bede-7a93966147e0.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/bb80f581-5660-42f7-888a-993e2f3353bc.jpeg']"
Наталья Ш.,3 Февраля 2022,100%,"[' Здраствуйте! Сумка отличная, все что нужно девушке помещаеться легко.  ']",['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/93de17ae-3b6c-42d7-9e41-17ef3b147812.jpeg']
Венера Х.,30 Января 2022,100%,"['        Достоинства       Не большая, но и не маленькая ', '        Комментарий       Шикарная сумка. Качество прямо очень хорошее, все как я и хотела. ']",['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/d25dbab3-12e5-4c27-9129-cb243a68c90a.jpeg']
Dasha L.,24 Января 2022,100%,"['        Достоинства       Мягкий материал  ', '        Недостатки       Нет  ', '        Комментарий       Хорошего качества  ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01FT6A15DHWNAHAF5PTZGE61VM.jpg']
Татьяна И.,9 Января 2022,80%,"['        Достоинства       За такую цену супер, очень легкая ', '        Недостатки       Хлипкая ручка ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01FRYZ7PWBVM8S9H4XMMQS7BAA.jpg']
Dia Н.,6 Января 2022,100%,"['        Достоинства       Аккуратная сумка, соответсвует фото.  ', '        Недостатки       Нет ']","['https://cdn1.ozone.ru/s3/rp-photo-2/wc500/d93dba85-3ebe-4101-b8ba-30f14304b547.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/96ef6a51-5378-4d44-953d-e94241bb575a.jpeg']"
Савчак Елена,4 Января 2022,100%,"['        Достоинства       приятная, компактная ', '        Недостатки       без карманов ', '        Комментарий       Отличная летняя сумочка. Удобна в руке и на плече. Её недостаток - нет карманов. Паспорт вы не отделите от бумажника и пудркницы.  ']",['https://cdn1.ozone.ru/s3/rp-photo-2/wc500/ceb8f0ea-d11e-40cd-99f1-b738ab6f5e85.jpeg']
Юлия К.,25 Декабря 2021,80%,"['        Достоинства       Не маленькая и не большая, самое то  ', '        Недостатки       Указала на недостаток в видео  ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01FQQASYY82K3T4WHS9PM212C1.jpg']
No Name,13 Ноября 2021,100%,"['        Достоинства       качество и цена. ', '        Недостатки       нет ', '        Комментарий       хорошая сумка ']","['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/c4419802-0573-46ae-bff3-d5b04419b02a.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/f184b14f-01a9-4e38-ba81-b90de20a6200.jpeg']"
Ольга А.,12 Ноября 2021,40%,"['        Недостатки       Швы наружу, цепочка собирается, сумка превращается в гармошку. Нет ни одного кармашка. ']","['https://cdn1.ozone.ru/s3/rp-photo-5/wc500/fda5f61f-0a3b-4a8b-a531-c1a8d2e0db3a.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/215026a3-ab65-4929-bc2a-3d8282fd80ac.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/370be4b2-8b48-4d59-89b1-2d1e31877b12.jpeg']"
No Name,12 Ноября 2021,80%,"['        Достоинства       небольшая,но вместительная(одно отделение),невесомая ', '        Недостатки       неаккуратный шов притачивания клапана,нет внутреннего кармашка,ремешок коротковат для кросбоди ']","['https://cdn1.ozone.ru/s3/rp-photo-2/wc500/e9275c6f-922c-44d6-abc8-7e457a37e0ac.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/7b652578-f52e-4165-95cd-36d811025300.jpeg']"
Анастасия В.,10 Ноября 2021,20%,"['        Достоинства       нет ', '        Недостатки       подделка полная ', '        Комментарий       совершенно не та, что на фото, а подарок вообще трэш))))) резинка для волос, видимо использовалась много лет))) такой уж вид у неё))) не рекомендую. цена сумки - 50 руб. - не дороже.  ']","['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/3639c0f1-b3bb-4816-b724-dafa434f42ae.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/4406a148-4edb-4ed4-a433-7674b365c14f.jpeg']"
No Name,1 Октября 2021,100%,"['        Достоинства       Очень красивая, нежная сумочка ', '        Недостатки       Нет ', '        Комментарий       Сумочка офигенная , вместительная, телефон вмещается, паспорт, помады и т.п ремешок тканевый короткий, чтобы на руке или плече носить, а с цепочкой уже на полную длину  ']","['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/fa4ccfb1-0e0e-4fc1-9893-3b562807b6f5.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/6dfd186f-03fe-4ed2-95e9-ffb5a563ad2a.jpeg']"
Эльнур М.,19 Февраля 2022,100%,n/a,n/a
Елена М.,13 Февраля 2022,100%,n/a,n/a
No Name,12 Февраля 2022,20%,"['        Достоинства       нету ', '        Недостатки       очень маленькая  ', '        Комментарий       эта сумочка не стоит своих денегмаксимум рублей 500 ']",n/a
Прлхорова М.,12 Февраля 2022,100%,n/a,n/a
Олеся М.,12 Февраля 2022,100%,n/a,n/a
Валерий В.,10 Февраля 2022,100%,n/a,['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/5f45e19f-68b7-46fe-b403-0386cc545d19.jpeg']
Мария С.,10 Февраля 2022,20%,"['        Достоинства       Нет  ', '        Недостатки       Ужасная и не соответствует фото ']",n/a
Мария П.,9 Февраля 2022,20%,"['        Недостатки       Ужасное настроение качество, торчат нитки, ремешок будто марля  ']",n/a
Надежда С.,8 Февраля 2022,100%,n/a,n/a
Анна П.,4 Февраля 2022,80%,"[' покупала дочке 14 лет, ей понравилась. мне нет, но это как говорится на вкус и цвет. для более старшего возраста врятли подойдёт очень дёшево выглядит и очень маленькая.  ']",n/a
Ольга Е.,3 Февраля 2022,100%,"['        Достоинства       Большая и вместительная ', '        Недостатки       Без изъянов ', '        Комментарий       Сумка супер, довно искала такую. Спасибо за качественный товар ']",n/a
Елена В.,3 Февраля 2022,80%,"['        Достоинства       интересная маленькая сумочка, на весну - лето самое то! ', '        Недостатки       пришла немного мятая и с заломами от транспортировки ', '        Комментарий       подходящая цена ']",n/a
Емельянова Н.,1 Февраля 2022,40%,"['        Достоинства        коричневая ', '        Недостатки         неприятно разочарована: меньше чем на картинке( или модель- карлица, но об эирм нужно было предупредить, не все догадаются), воняет дешевой клеенкой сильно. Не выглядит как эко кожа, скорее как столовая клеенка.  или пакеты из Ашана. Какая то полу игрушечная вещь. не сумка. Стыдно продавать такое. ', '        Комментарий       фу. пусть вам будет стыдно. ']",n/a
Ольга Ш.,31 Января 2022,100%,n/a,n/a
No Name,31 Января 2022,100%,"[' Смотрится очень классно , но маловата… в целом , меня устраивает . ']",n/a
Юлия К.,31 Января 2022,100%,"['        Достоинства       Очень хорошая маленькая сумочка, подойдёт для лета. В подарок симпотичная резинка для волос.  ']",n/a
Анна И.,27 Января 2022,100%,"['        Достоинства       Сумка хоть и не большая, но вместительная.  ', '        Недостатки       Но очень слабая цепочка, постоянно обрывается.  ']",n/a
Виктория С.,26 Января 2022,100%,"['        Достоинства       Сумка понравилась. Достаточно большая и вместительная, всё как я люблю, удобно носить на плече. Эко-кожа в сочетании с тканевыми ручками смотрится стильно и необычно. Кожа хорошая и плотная, ручки крепкие. Сумка выполнена качественно, расцветка тоже понравилась. ', '        Недостатки       нет ']",n/a
С Елена,26 Января 2022,100%,['        Достоинства       Маленькая. На плечо. Тканевая '],n/a
Светлана Ю.,26 Января 2022,100%,"['        Достоинства       Удобная ', '        Комментарий       Сумка пришла именно такая как я и хотела.  Удобная и достаточно вместительная, хотя и не большая. Я лично для работы брала, мне прям самое то) ']",n/a
No Name,26 Января 2022,100%,n/a,n/a
Мария М.,25 Января 2022,80%,"['        Достоинства       маленькая, компактная сумочка к вечернему наряду. доставили очень быстро! ', '        Недостатки       пришла несколько помятая. шов на лямке грубоват ']",n/a
Олеся Ш.,24 Января 2022,100%,"['        Достоинства       Цена и доставка, положили подарок  ', '        Комментарий       Мягкая и компактная, покупала на подарок бабушке, она в восторге ']",n/a
Наврузхотун Н.,23 Января 2022,100%,n/a,n/a
Алексей П.,23 Января 2022,100%,"['        Достоинства       Все отлично, пришла целая, неплохая, мне понравилось, советую к покупке, все соответствует описанию  ', '        Недостатки       Торчала ниточка, не критично ']",n/a
Ирина Ш.,22 Января 2022,100%,"['        Достоинства       вместительная ', '        Недостатки       кожзам не очень качественный ', '        Комментарий       за такие деньги нормально ']",n/a
Александр К.,21 Января 2022,80%,"['        Достоинства       Симпатичная сумка. Супруге понравилась. Есть кармашки для мелкой косметики и ключей. качество швов хорошее. нитки нигде не торчат. ', '        Недостатки       Не внушают доверия защёлки. ', '        Комментарий       Своих денег стоит. ']",n/a
No Name,21 Января 2022,60%,"['        Достоинства       - ', '        Недостатки       В реали оказалась на много меньше чем нафтол,выглядит очень дёшево,сделана из крайне дешёвого материала,не рекомендую к покупке ! ', '        Комментарий       - ']",n/a
Татьяна Ф.,20 Января 2022,100%,n/a,n/a
Tansir J.,18 Января 2022,100%,n/a,n/a
Алёна А.,15 Января 2022,100%,n/a,n/a
No Name,14 Января 2022,100%,"['        Достоинства       Красивая ', '        Недостатки       Пришла мятая, не критично ']",n/a
Аделина Г.,14 Января 2022,100%,n/a,n/a
Зухра Д.,14 Января 2022,100%,n/a,n/a
No Name,11 Января 2022,60%,['        Недостатки       Нет карманов в нутри и ещё пришла очень мятая '],n/a
Камолат А.,11 Января 2022,100%,[' очен хороший '],n/a
Paha S.,11 Января 2022,100%,n/a,n/a
Ольга А.,10 Января 2022,20%,"['        Достоинства       Красивый фасон ', '        Недостатки       Качество ужас, тряпка ']",n/a
No Name,10 Января 2022,60%,"['        Достоинства       Не нашла  ', '        Недостатки       Ткань очень тонкая ,даже  страшно  сто порвётся вот вот в руках и сама сумочка как будто для ребёнка  ', '        Комментарий       Для ребёнка  ']",n/a
Ольга М.,9 Января 2022,80%,"['        Достоинства       легкая, прошита качественно ']",n/a
Виктория Л.,8 Января 2022,100%,n/a,n/a
Екатерина Е.,8 Января 2022,60%,"['        Достоинства       Нет ', '        Недостатки       Очень маленькая, не держит форму. Цепочка тонкая, то и дело думаю, не порвется ли она.  ']",n/a
Дилара К.,8 Января 2022,100%,n/a,n/a
No Name,7 Января 2022,100%,[' Спасибо за резинку для волос  '],n/a
Саглана Л.,6 Января 2022,80%,n/a,n/a
Екатерина Р.,4 Января 2022,100%,"['        Достоинства       красивая сумка как на фото, ручка регулируется. вместительная. ', '        Недостатки       внутри нет карманов ', '        Комментарий       продавец в подарок положил резинку для волос. ']",n/a
Венера К.,1 Января 2022,80%,n/a,n/a
Александр В.,31 Декабря 2021,100%,['        Достоинства       жене понравилась '],n/a
Элина Г.,31 Декабря 2021,100%,"['        Достоинства       хорошая ', '        Комментарий       думала побольше но оказалась маленькая ']",n/a
Татьяна В.,30 Декабря 2021,100%,"['        Достоинства       очень удобная, красивая лёгкая сумка, ', '        Комментарий       класс!!! какую хотела сумку та и пришла,быстро доставили ']",n/a
Екатерина Б.,28 Декабря 2021,100%,n/a,n/a
Анатолий В.,20 Декабря 2021,100%,n/a,n/a
Екатерина Ч.,18 Декабря 2021,100%,n/a,n/a
Наргиза С.,18 Декабря 2021,80%,"['        Достоинства       быстрая доставка ', '        Недостатки       ужасно пахнет ']",n/a
София К.,17 Декабря 2021,100%,n/a,n/a
Виктория Г.,14 Декабря 2021,100%,n/a,n/a
Евгения Т.,14 Декабря 2021,100%,n/a,n/a
Анастасия П.,12 Декабря 2021,100%,n/a,n/a
Людмила М.,11 Декабря 2021,100%,"['        Достоинства       Сумка один в один как на фото.  ', '        Недостатки       Нет ', '        Комментарий       Искала сумку на корпоратив, чтобы все вместилось и подходила к платью. Сумка пришла отличного качества, выглядит в живую лучше чем на фото. От Сумки в восторге. Закажу ещё в чёрном цвете .  ']",n/a
Илона У.,5 Декабря 2021,80%,"['        Недостатки       Эта сумка не на плечо, больше на клатч похожа ', '        Комментарий       Очень маленькая, посещается не так много, как хотелось, на плече носить может и можно, но только летом, без верхней одежды. ']",n/a
Диана Б.,3 Декабря 2021,80%,n/a,n/a
Лебедок М.,30 Ноября 2021,100%,n/a,n/a
Ника С.,29 Ноября 2021,100%,n/a,n/a
Ольга В.,26 Ноября 2021,80%,n/a,n/a
Елена Т.,24 Ноября 2021,100%,n/a,n/a
No Name,25 Ноября 2021,20%,[' очень маленькая-как портмоне '],n/a
No Name,22 Ноября 2021,20%,"['        Достоинства       Нет. ', '        Недостатки       Мятая клеёнка, вся кривая. ', '        Комментарий       За такую цену предполагалось, что материал будет дешевый, но чтоб такой ужас.  ']",n/a
Татьяна А.,19 Ноября 2021,80%,n/a,n/a
Даниил З.,18 Ноября 2021,100%,"['        Достоинства       Норм ', '        Недостатки       Нету   ']",n/a
No Name,17 Ноября 2021,100%,"['        Достоинства       всё хорошо ', '        Недостатки       нет ', '        Комментарий       все супер ']",n/a
MARINA L.,14 Ноября 2021,100%,n/a,n/a
No Name,13 Ноября 2021,80%,"['        Достоинства       В целом всё соответствует описанию  ', '        Недостатки       немного помятый ', '        Комментарий       Я думала он будет больше, но в целом мне нравится  ']",['https://cdn1.ozone.ru/s3/rp-photo-2/wc500/dd0f1313-230b-4261-b7cc-336db90176a4.jpeg']
Надежда,13 Ноября 2021,100%,n/a,n/a
Мира О.,13 Ноября 2021,100%,n/a,n/a
Гузель М.,13 Ноября 2021,80%,n/a,n/a
