user name,post date,post stars,user comment,images
Попова Кристина,26 Апреля 2022,100%,"['        Достоинства       отличный размер, удобная длина цепочки ', '        Недостатки       пока нет ', '        Комментарий       присутствует небольшой запах, но надеюсь, что выветрится в скором времени. Большой один отдел, внутри нет никаких карманов. застёжка легко и надежно закрывается.  ']","['https://cdn1.ozone.ru/s3/video/cover/wc500/01G1JMMB1AQ9CVA9F60PVHNMR6.jpg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/7d1ff084-a74c-4d81-8534-a4fcb13cd8a6.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/c374c57e-9d10-4c82-8e2d-5e7171e9cf46.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/3a39fcc0-f25a-498f-8777-569c7a092fc9.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/478f0aa5-b8f0-40c7-a562-95be20fc154a.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/a7562f11-7b6a-4c47-a05a-8fd4116c52c2.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/a5bbbd67-033f-43a6-8e31-a886ae6ef0d7.jpeg']"
Кристина О.,26 Апреля 2022,100%,"['        Достоинства       Выглядит стильно и трендово ! ', '        Недостатки       Неприятно пахнет, ожидала чуть больше по размеру, ниточки торчат  ', '        Комментарий       В принципе за свою цену неплохо :)  ']","['https://cdn1.ozone.ru/s3/video/cover/wc500/01G1JGE0RZB4GZNR9HHZWT4KS7.jpg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/36db0794-28eb-4a55-a0c4-25e4d304a5b3.jpeg']"
No Name,25 Апреля 2022,100%,"['        Достоинства       Маленькая ,легкая  ', '        Недостатки       Нет ', '        Комментарий       Достаточно вместительная ,цена ']","['https://cdn1.ozone.ru/s3/video/cover/wc500/01G1GNEHEA9KK3R5CPKZ0GDTX2.jpg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/343bf5a2-1d50-4e54-8b46-8690529474c9.jpeg']"
Евгения М.,25 Апреля 2022,100%,"['        Достоинства       Смотрится дорого, а стоит дёшево ', '        Комментарий       Сама «кожа» тонкая, но прочная. Сумка лёгкая и простая. Но внешний вид просто огонь. Супер! Нашел её уже месяц, очень довольна! ']",['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/2af1c6d6-e4b7-4538-ab80-4bc7cb664149.jpeg']
Дарья Я.,24 Апреля 2022,80%,"['        Достоинства       Вместительная, симпатичная  ', '        Недостатки       Торчат нитки, все делали сделаны из пластмассы, которая легко ломается. Сломался карабин, сумка просто упала на землю. Имейте ввиду, что очень хлипкое ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01G1DXAMB9QV2NJNAX6QQBXZD7.jpg']
Римма В.,23 Апреля 2022,100%,"['        Достоинства       Красивая, стильная ']","['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/40d89403-729d-4fcd-b5c3-67dd267b8db8.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/1a682a57-6997-4760-9c0f-aab920139b85.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/37f526d6-688b-474b-961f-e8d7c4710561.jpeg']"
No Name,23 Апреля 2022,20%,"['        Достоинства       Нет ', '        Недостатки       Качество  ', '        Комментарий       Сломалась защелка чз неделю ']","['https://cdn1.ozone.ru/s3/rp-photo-5/wc500/a3b33702-cb78-4d6d-b32d-2a9933ad9172.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/bc15f4f8-8739-465d-ae82-350a7cb522b4.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/3589b249-af43-41f4-af67-220774c79600.jpeg']"
Ольга В.,23 Апреля 2022,100%,"['        Достоинства       выглюдит отлично, нитки не торчат , швы ровные, внутри подкладки нет, смотрится хорошо ', '        Недостатки       можно дешевле ', '        Комментарий       сумку взяла на подарок по внешнему виду супер, запаха нет все ровно сшито, в подарок положили резинку, приятно ']","['https://cdn1.ozone.ru/s3/rp-photo-2/wc500/96de611c-bee3-484c-811c-2d7006eab752.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/7ec3eeea-6fa1-47dc-a7f3-c33d11993883.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/14bbc094-fcac-456e-95a3-391ae28c36df.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/9a77b4bb-5f0c-44eb-9283-d6a3e3013fad.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/79a39113-6ea8-4750-90a9-d5cb93cf3106.jpeg']"
Елизавета Щ.,22 Апреля 2022,20%,"['        Достоинства       Нет ', '        Недостатки       Одно сплошное разочарование ']","['https://cdn1.ozone.ru/s3/rp-photo-5/wc500/4b1889fd-a79c-4672-a8b6-d71b8aef09a3.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/fba8eb2c-ed75-4885-bac9-6e4956859c13.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/2ee546e1-b3c0-4e61-8818-435a9d8d3bbe.jpeg']"
Анна М.,22 Апреля 2022,100%,"['        Достоинства       Сумка пришла целая,швы ровные, цена хорошая, для мелких вещей,таких как телефон,очки,ключи, в самый раз. Внутри нет отделений, просто как один большой карман, но для меня это не критично. ', '        Недостатки       Немного меньше по размеру,чем я ожидала и очень мятая,плохо расправляется ', '        Комментарий       В целом,покупкой довольна ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01G18E063M645X87HE9HPFKM3Z.jpg']
Виктория Е.,21 Апреля 2022,100%,"['        Достоинства       хорошо прошита. красивая.  ', '        Недостатки       нужно самой ручку привязать ', '        Комментарий       мне понравилась ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01G15MJBQ8DT89H4WXNNN6NS6Y.jpg']
Екатерина П.,20 Апреля 2022,100%,"['        Достоинства       Модель сумки ', '        Недостатки       не понятная кожа ', '        Комментарий       В целом все как и хотелось, единственное, не много крубая кожа если ее так можно назвать. ']","['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/3b3e8631-3060-408c-aa57-108c85ecad74.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/d7d944d5-67e9-414e-ae51-938ae7aa20e3.jpeg']"
Анна С.,19 Апреля 2022,100%,"['        Достоинства       Удобство, размер, стильная ', '        Недостатки       Материал очень тонкий, мятая  ', '        Комментарий       Маленькая, классная и стильная сумочка. Идеально подойдёт к любому образу. Швы все ровные, нигде ничего не торчит.В целом, сумка отличная, но вот материал желает лучшего.  ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01G11AEWGAPJX5E6ZMGW0WRSSX.jpg']
