user name,post date,post stars,user comment,images
Юлия Л.,23 Апреля 2022,100%,"['        Достоинства       Подойдёт и под спорт и на повседневку, вместительная ', '        Недостатки       Нет ', '        Комментарий       Отлично упаковано, аккуратно сшита, придраться не к чему. Поместились и кроссовки, одежда, вода, забросила кошелёк и всякую женскую мелочь. Вместительная одним словом, хотя на первый взгляд были сомнения. Это будет моя любимая сумка. Буду рассматривать и другие цвета, в том числе на подарок) Советую к покупке) ']","['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/687ac700-083a-40b6-8c5f-9a614295fe41.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/383a61dc-d7f4-4f7f-9bab-38fac7dd033c.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/69db3c39-5218-4303-bd8a-8783ae6ce2d0.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/44c90d93-efaa-4ad7-9115-a31166b73c5f.jpeg']"
Ольга Н.,22 Апреля 2022,100%,"['        Достоинства       Это моя любимая покупка на ozon)Очень удобная и прочная сумка.Хорошо смотрится с любой одеждой. ', '        Недостатки       Их нет. ', '        Комментарий       Сумка реально прочная,несколько раз несла в ней тяжёлые вещи,ручки выдержали) ']",['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/39adccd7-dfb2-4c9e-99c8-186fd39c6da5.jpeg']
Фахрия К.,18 Апреля 2022,100%,"['        Достоинства       Отличный  ', '        Недостатки       Нет ', '        Комментарий       Хороший товар 👍 и качественный  ']","['https://cdn1.ozone.ru/s3/rp-photo-5/wc500/5def5ff6-0e50-4e0e-b712-bf63eb1db6d1.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/b7d88a02-b474-41e4-a9cb-6c3b42ee77b7.jpeg']"
Людмила Н.,18 Апреля 2022,100%,"['        Достоинства       вместительная ', '        Недостатки       нет ', '        Комментарий       Сумка классная очень вместительная и стильная!Туда помещается все,с детьми это необходимо!За такие деньги просто находка,подходит к любому образу. ']","['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/05a70aff-77f2-4388-ad55-685537f1049b.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/958e93d8-f8e5-435c-8575-5a66c4fa9040.jpeg']"
No Name,17 Апреля 2022,100%,"[' Очень удобная, вместительная и легкая. Качественно сделана.  ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01G0WKEEFQC68MBR8QYJ0SSG2H.jpg']
No Name,17 Апреля 2022,60%,"['        Достоинства       очень качественная, красивая ', '        Недостатки       маленький размер в ширину, на фото не соответствует ']",['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/0f88416b-a47e-42cd-bf0e-c21c4460987e.jpeg']
Елена,17 Апреля 2022,100%,"['        Достоинства       Отличная сумка ', '        Недостатки       Нет ', '        Комментарий       Удобная!! Под джинсы 🔥)) ']","['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/d22ff39b-f5a2-4b83-b41e-b07e53e663df.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/2463d6a7-57e8-4028-9bd4-fab99e0cc9d3.jpeg']"
No Name,17 Апреля 2022,100%,"['        Достоинства       Сумка качественная, фабричная ', '        Недостатки       Нет ', '        Комментарий       Заказ пришёл быстро. Всё отлично. Рекомендую.  ']","['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/0cf6b4cb-c0f5-4ebc-8f6a-945a4f56e585.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/f9274251-ccb5-43ee-9ed9-af186591ebe8.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/55b5f167-73df-43d9-94fa-b69fd4370ddb.jpeg']"
Ольга Я.,14 Апреля 2022,100%,"['        Достоинства       Классная ', '        Комментарий       Я довольна ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01G0MKRE4QS54JCKNMGYG98EW1.jpg']
Елена Е.,14 Апреля 2022,100%,"['        Достоинства       Всё качественно строчки,фурнитура,упаковка. Доставка даже раньше срока. ', '        Недостатки       нет ', '        Комментарий       Очень понравилась сумка. Смотрится очень даже ничего. ']","['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/81d74301-cd8e-4ab9-9dcf-7d8293012b93.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/1df3b7bb-608b-48c3-a6e1-9a11d6ac9402.jpeg']"
Ирина Д.,9 Апреля 2022,100%,"['        Достоинства       Невесомая ', '        Комментарий       Смотрится очень хорошо ']","['https://cdn1.ozone.ru/s3/rp-photo-2/wc500/abb5cb24-d7ad-44a5-a56b-cd71e63eae51.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/a11216c3-eec5-4705-8a8d-a35de2a23f9b.jpeg']"
Оксана Д.,8 Апреля 2022,100%,"['        Достоинства       хорошо прошито  нитки не где не торчат ', '        Недостатки       нет ', '        Комментарий       хорошо упакован ']","['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/8b22318d-c01b-4960-bec2-c37ac2fe73e3.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/731ea1a2-c954-42a2-bf3a-8ac3fabeaef5.jpeg']"
Луиза,5 Апреля 2022,100%,"['        Достоинства       Сумка качественно прошита,нитки не торчат,как фабричная ,идеально для шопинга,выдерживает нагрузки. ', '        Недостатки       нет ', '        Комментарий       Нареканий нет,советую данную модель .Купила себе,и подруге подарила .Упакована была хорошо.Спасибо продавцу и службе доставки. ']","['https://cdn1.ozone.ru/s3/rp-photo-5/wc500/19e25c40-d683-4755-84dc-cb9ff2c1bec1.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/feea749f-1367-4bf1-92fe-466d9e1efb0d.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/1465626b-e479-4baa-b2db-7f3429b7d73a.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/8dd3c480-edc2-414b-8631-825e18612c8a.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/a1c3bab5-4f82-4369-b86d-a421ed18f7c1.jpeg']"
