user name,post date,post stars,user comment,images
Елена З.,7 Марта 2022,100%,n/a,"['https://cdn1.ozone.ru/s3/video/cover/wc500/01FXJTJXEGNG8TE4K13Z7TY65W.jpg', 'https://cdn1.ozone.ru/s3/video/cover/wc500/01FXJTKAMA5M7VDW42NGPA5KWK.jpg', 'https://cdn1.ozone.ru/s3/video/cover/wc500/01FXJTJFH9GAM6F3D6JRHEPTHN.jpg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/fee8e775-9640-4311-b565-5e717921be61.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/11bb1f23-6bc6-46a2-a22b-247df028d21b.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/aee4a04a-18a1-47ea-ac0f-63a5578abc78.jpeg']"
Алексей И.,6 Марта 2022,100%,"['        Достоинства       Вместительная  ', '        Недостатки       Нет ', '        Комментарий       Думаю жене понравится на 8 марта)))  за эти деньг идеально, сумочка ровнаЯ, без всяких ниток и т д))) аккуратная и молодежная) рекомендую ']","['https://cdn1.ozone.ru/s3/rp-photo-2/wc500/a3b7358b-6a26-4885-abcf-7b640a1537b4.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/ab006722-d515-446d-a39c-850fbe3a3d40.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/52b12700-b92a-4e2d-8561-782714a590b7.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/6c6d78c6-bb71-4309-bac5-43c543e57476.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/0d12bceb-c30a-40ef-9fc6-e5f56b2ea714.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/4d2519a6-6fd0-496b-bec4-59483a40fe21.jpeg']"
Наталья П.,6 Марта 2022,100%,n/a,n/a
No Name,5 Марта 2022,100%,"['        Достоинства       Отличная и вместительная сумка👍Однозначно стоит своих денег! Идеально подойдёт для поездок  ', '        Комментарий       Качественный материал, никаких дефектов не обнаружено! Советуем брать👌 ']",n/a
No Name,5 Марта 2022,100%,"['        Достоинства       качественная вместительная,компактная сумка ', '        Недостатки       их нет ', '        Комментарий       красивая , очень удобная, рекомендую ']","['https://cdn1.ozone.ru/s3/rp-photo-5/wc500/3d604aae-f952-45bf-987e-7a0466077879.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/d06c5f9f-a015-4347-83b2-6fae7956dcf5.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/0fbca2f4-1510-4c3f-9459-4cbaae2a7ed3.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/acb0aabf-f9cf-496d-9c41-40666073cb8f.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-2/wc500/4335add4-a553-46cd-b126-e219553f5523.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/e3ebd54e-6577-4b48-b8c8-876e71619ee5.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/f4e1590d-67f1-4388-9076-81fb14eeb13a.jpeg']"
No Name,4 Марта 2022,100%,"[' Размеры соответствуют описанию, цвет розовый, я бы сказала пыльно розовый, хорошая, вместительная сумочка, на лето самое то, для меня 🙂 спасибо 👍 ']","['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/af85e3d4-0166-485a-845b-d924142cc378.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/db367ced-4e9d-4d2b-957b-65b659e63ffb.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/44202c0f-37ba-4651-a4b5-41b579f6fdf3.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/a776c9e5-6c24-4bab-bf1d-7998e6465091.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/37a3162d-d635-4d94-a264-e86c8074d2f2.jpeg']"
Людмила Х.,2 Марта 2022,100%,"['        Достоинства       Сумочка красивая, вместительная. Много кармашков. Рекомендую.  ']",n/a
No Name,28 Февраля 2022,100%,"['        Достоинства       качественная ', '        Недостатки       нет ', '        Комментарий       Упакована сумка была хорошо, внутри набита бумагой для предотвращения деформации формы. Без запаха. Все молнии в рабочем состоянии. Доя меня оказалась большеватой, оставила другую этого же продавца. К покупке рекомендую ']",n/a
No Name,22 Февраля 2022,100%,"['        Достоинства       Хорошая сумка вместительная ', '        Недостатки       Не нашла  ']",n/a
Хусния М.,18 Февраля 2022,100%,n/a,n/a
