user name,post date,post stars,user comment,images
No Name,27 Апреля 2022,100%,"['        Достоинства       Качество  ', '        Недостатки       Нет ', '        Комментарий       Идеальный клатч  ']","['https://cdn1.ozone.ru/s3/video/cover/wc500/01G1MVWANZGGN1F43RYYJ6N38J.jpg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/b8437cf2-5007-44ac-8cf1-7643332f3b4d.jpeg']"
Татьяна К.,23 Апреля 2022,100%,"[' Сумочка маленькая, но хорошенькая, много не поместится, больше похожа на клатч. Стильная, брала под плащ, подошла отлично.  ']",n/a
No Name,17 Апреля 2022,100%,"['        Достоинства       Классная ', '        Недостатки       Нет ']",['https://cdn1.ozone.ru/s3/video/cover/wc500/01G0W67K89R8R6CT2HFE24JHW1.jpg']
Анаит К.,15 Апреля 2022,100%,n/a,n/a
Анна П.,14 Апреля 2022,100%,"[' Сумочка просто бомба! Очень качественно исполнена, приятный цвет. Длинная цепочка и в комплекте платочек, который можно повязать на сумочку, или обматать ручку как на фото.  Да, она не супер вместительная, но самое необходимое поместится. Я в восторге!  ']",n/a
Екатерина Ц.,8 Апреля 2022,100%,"['        Достоинства       Не деформируется, жесткий каркас внутри ', '        Недостатки       Не выявила ', '        Комментарий       Сумочка замечательная! В комплекте длинная качественная металлическая цепь и можно носить на плече или кросс-боди. Ручка тоже из металла, не «сотрется» и всегда будет выглядеть новой. Шелковый платочек как на фото идёт в подарок, очень элегантно выглядит и можно завязать в разных вариантах. Вся фурнитура... Читать полностью']","['https://cdn1.ozone.ru/s3/rp-photo-3/wc500/8298fa6d-da2d-4434-983d-44dc01a00c6c.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-5/wc500/92aa1cdd-68f2-4d92-a13b-8579529f8f67.jpeg']"
No Name,7 Апреля 2022,100%,"['        Достоинства       Очаровательная сумочка с жёстким каркасом. Можно носить на плече (для этого   имеется  съёмная ремень - цепочка), а можно на запастье. В подарок к ней идёт платочек, который позволяет  вносить ""изюминку"" в дизайн сумочки.  ', '        Недостатки       Нет.  ', '        Комментарий       Сумочка хорошего качества, очень милая. Мне понравилась. Рекомендую к покупке.  ']",n/a
