user name,post date,post stars,user comment,images
Тамара П.,4 Мая 2022,100%,"['        Достоинства       смотрится дорого ', '        Недостатки       не снимается цепочка. тканевый ремень очень хотелось бы длиннее.  ', '        Комментарий       сумку купила для дочери, пока ее мнение не знаю, но лично мне она понравилась. милая, стильная, держит форму. под,, крышкой, сумки закрываются все отделения общей молнией, что очень хорошо, на случай если магнитные кнопки ослабеют. угольно-черная. твердая, надеюсь будет... Читать полностью']",n/a
Александра М.,2 Мая 2022,100%,n/a,n/a
Екатерина И.,1 Мая 2022,100%,n/a,n/a
Камилла Л.,1 Мая 2022,100%,n/a,"['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/b142f044-a832-41ab-8fe4-a06d6e9aff37.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-4/wc500/46afcedb-7ba0-4faf-a393-3467f5a60fab.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-3/wc500/6c2c6764-1e9c-40cf-8741-d9f3e999af0e.jpeg']"
No Name,30 Апреля 2022,100%,"['        Недостатки       думала будет больше)  ', '        Комментарий       в целом хорошо смотрится, оставила  ']",n/a
Татьяна С.,26 Апреля 2022,100%,n/a,n/a
Виктория П.,24 Апреля 2022,100%,n/a,n/a
No Name,19 Апреля 2022,100%,"['        Достоинства       Всё как на фото, красивая сумка мне нравится ❤️, берите не пожалеете ']",['https://cdn1.ozone.ru/s3/rp-photo-4/wc500/5dd3ce0d-6fb1-4871-97cf-eca7fef7a2a4.jpeg']
No Name,13 Апреля 2022,100%,"['        Достоинства       Сумка просто огонь Очень приятная на ощупь Очень стильная  ', '        Недостатки       Нет  ', '        Комментарий       Рекомендую к покупке  ']",n/a
Юлия А.,8 Апреля 2022,100%,n/a,n/a
Анастасия К.,4 Апреля 2022,100%,n/a,n/a
No Name,4 Апреля 2022,80%,"['        Достоинства       Удобная,вместительная ', '        Недостатки       Только один отдел ', '        Комментарий       Всё необходимое вмещает.Телефон,паспорт,ключи,а больше нечего не нужно ']",n/a
Светлана Л.,1 Апреля 2022,100%,n/a,n/a
Александр Л.,26 Марта 2022,100%,['        Достоинства       Красивая сумка '],n/a
Наумова Валерия,18 Марта 2022,80%,"['        Достоинства       Маленькая, мягкая ', '        Недостатки       Мне кажется хлипкий ремешок ']","['https://cdn1.ozone.ru/s3/rp-photo-1/wc500/91ae3cfe-1efa-400b-b3f1-4242bb8aeef0.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/434cf0cd-1388-4866-bc57-a7bb869e2c7b.jpeg', 'https://cdn1.ozone.ru/s3/rp-photo-1/wc500/b2c44577-2bab-4697-aed5-5e71dae5a648.jpeg']"
Алёна Ш.,16 Марта 2022,100%,n/a,n/a
